family,domain,gene_target,instrument_type,obs_d,obs_type,obs_class,mr_or_raw,mr_d,mr_ci,mr_class,classification,prediction,drug_outcome,correct,status,mr_contrast,instrument_set,revised_primary_set,value_origin_obs,value_origin_gen,value_origin_outcome,source_obs,source_gen
LDL/PCSK9,cardio,PCSK9,cis_pqtl,0.231,epidemiological_OR,non-trivial,1.78,0.318,(1.58-2.01),causal,concordance,success,Approved,True,pre-registered,per_unit,,True,coding_error,quoted,outcome_documented,ference2019ldl,holmes2015
Blood pressure,cardio,multiple,polygenic,0.189,epidemiological_OR,non-trivial,1.44,0.201,(1.35-1.55),causal,concordance,success,Approved,True,pre-registered,per_unit,,True,derived,coding_error,outcome_documented,Lewington 2002 (PSC),georgakis2020
Triglycerides,cardio,LPL,biomarker_gwas,0.299,epidemiological_OR,non-trivial,1.62,0.266,(1.24-2.11),causal,concordance,success,Approved,True,pre-registered,per_unit,,True,quoted,quoted,outcome_documented,sarwar2007tg,holmes2015
Lp(a),cardio,LPA,cis_pqtl,0.067,epidemiological_OR,trivial,0.94,0.034,(0.93-0.95),null,null concordance,ambiguous,Pending,,pending,,,,,,,,
IL-6R,cardio,IL6R,cis_pqtl,0.123,epidemiological_OR,non-trivial,0.95,0.083,(0.93-0.97),null,qualitative discordance,failure,Pending,,pending,,,,,,,,
IL-23-psoriasis,autoimmune,IL23R,coding_variant,0.66,tissue_expression,non-trivial,0.616,0.267,(0.563-0.674),causal,concordance,success,Approved,True,pre-registered,per_allele,,True,coding_error,quoted,outcome_documented,dowlatshahi2013 (cited in classifier note),zhu2012il23r
CTLA-4-RA,autoimmune,CTLA4,coding_variant,0.5,case_control_SMD,non-trivial,0.86,0.083,(0.78-0.95),null,qualitative discordance,failure,Approved,False,pre-registered,per_allele,,True,author_estimated,coding_error,outcome_documented,PMID 22917707 (Liu 2012),daha2009ctla4
TNF-a-RA,autoimmune,TNF,biomarker_gwas,1.93,case_control_SMD,non-trivial,1.0,0.0,,null,qualitative discordance,failure,Approved,False,pre-registered,null_signal,,True,quoted,coding_error,outcome_documented,wei2015tnfra,liu2025raMRtargets
IL-17-psoriasis,autoimmune,IL17A,biomarker_gwas,0.47,case_control_SMD,non-trivial,0.998,0.001,,null,qualitative discordance,failure,Approved,False,pre-registered,null_signal,,True,quoted,derived,outcome_documented,zhou2017il17,wu2021il17mr
JAK-STAT-RA,autoimmune,STAT4,coding_variant,0.5,case_control_SMD,non-trivial,1.27,0.132,(1.2-1.34),causal,concordance,success,Approved,True,pre-registered,per_allele,,True,author_estimated,quoted,outcome_documented,PMC12520596 (Osman 2025),ji2010stat4
CD20-RA,autoimmune,FCRL3,coding_variant,0.5,case_control_SMD,non-trivial,1.291,0.141,(1.19-1.391),causal,concordance,success,Approved,True,pre-registered,per_allele,,True,author_estimated,quoted,outcome_documented,,yan2024fcrl3ssrn
IL-4Ra-AD,autoimmune,IL4R,cis_pqtl,0.15,case_control_SMD,non-trivial,1.02,0.011,,null,qualitative discordance,failure,Construct-limited,,construct-limited,,,,,,,,
IL-1b-CVD,autoimmune,IL1B,biomarker_gwas,0.174,epidemiological_OR,non-trivial,1.0,0.0,,null,qualitative discordance,failure,Failed,True,pre-registered,null_signal,CRP GWAS,,quoted,coding_error,outcome_documented,kaptoge2010crp,PMID 32223966 (Yuan/Larsson 2020)
VitD-Cancer,oncology,CYP2R1,biomarker_gwas,0.137,epidemiological_OR,non-trivial,0.97,0.017,(0.88-1.07),null,qualitative discordance,failure,Failed,True,extension,per_sd,25(OH)D GWAS,True,replacement_citation,replacement_citation,outcome_documented,mccullough2019vitd,lawler2023vitd
IGF1-CRC,oncology,IGF1,biomarker_gwas,0.062,epidemiological_OR,trivial,1.22,0.11,(1.09-1.36),causal,genetic-only signal,success,Failed,False,extension,per_sd,,,coding_error,quoted,outcome_documented,"rinaldi2019igfobs (bib resolves to Rinaldi 2010, PMID 19810099); intended Murphy 2020, PMID 31884074",larsson2020igfcancer
Estrogen-BC,oncology,CYP19A1,biomarker_gwas,0.145,epidemiological_OR,non-trivial,1.03,0.016,(1.01-1.06),null,qualitative discordance,failure,Approved,False,extension,per_sd,,True,quoted,quoted,outcome_documented,beral2003mws,shi2023estradiolBC
Eos/IL5-Asthma,respiratory,IL5,biomarker_gwas,0.8,case_control_SMD,non-trivial,1.5,0.224,(1.23-1.83),causal,concordance,success,Approved,True,extension,per_sd,,True,author_estimated,replacement_citation,outcome_documented,wagener2022eosinophils,guyatt2023eos
IL4Ra-Asthma,respiratory,IL4R,cis_pqtl,0.5,case_control_SMD,non-trivial,0.87,0.077,(0.82-0.93),null,qualitative discordance,failure,Construct-limited,,construct-limited,,,,,,,,
TSLP-Asthma,respiratory,TSLP,cis_pqtl,0.4,case_control_SMD,non-trivial,1.02,0.011,,null,qualitative discordance,failure,Construct-limited,,construct-limited,,,,,,,,
SGLT2-HF,metabolic,SLC5A2,cis_pqtl,0.309,epidemiological_OR,non-trivial,0.44,0.453,(0.26-0.76),causal,concordance,success,Approved,True,extension,per_sd,,True,coding_error,quoted,outcome_documented,ohkuma2019diabetesHF,zheng2020sglt2mr
GLP1R-T2D/Obesity,metabolic,GLP1R,cis_pqtl,0.0,epidemiological_OR,trivial,1.0,0.0,,null,null concordance,ambiguous,Construct-limited,,construct-limited,,,,,,,,
Urate-Gout,metabolic,SLC2A9,biomarker_gwas,0.641,epidemiological_OR,non-trivial,5.0,0.887,(3.5-8.0),causal,concordance,success,Approved,True,extension,per_sd,,True,derived,derived,outcome_documented,robinson2021urate,jordan2019urate
IL6-MDD,psychiatry,IL6R,cis_pqtl,0.15,case_control_SMD,non-trivial,1.01,0.005,(0.99-1.04),null,qualitative discordance,failure,Failed,True,extension,per_unit,CRP GWAS,True,quoted,quoted,outcome_documented,howren2009,galan2022crpdepression
IL23-Crohns,gastroenterology,IL23R,coding_variant,0.5,case_control_SMD,non-trivial,1.0,0.0,,null,qualitative discordance,failure,Construct-limited,,construct-limited,,,,,,,,
Complement-GA,ophthalmology,CFH,coding_variant,0.5,case_control_SMD,non-trivial,2.5,0.505,(2.2-2.85),causal,concordance,success,Failed,False,extension,per_allele,,,author_estimated,coding_error,outcome_documented,reynolds2009,thakkinstian2006
Sclerostin-Fracture,musculoskeletal,SOST,cis_pqtl,0.33,epidemiological_OR,non-trivial,0.59,0.291,(0.54-0.66),causal,concordance,success,Approved,True,extension,per_sd,,True,quoted,quoted,outcome_documented,szulc2014,bovijn2020
Serotonin-MDD,psychiatry,SLC6A4,coding_variant,0.45,case_control_SMD,non-trivial,1.08,0.042,(1.03-1.12),null,qualitative discordance,failure,Approved,False,extension,per_allele,,,quoted,quoted,outcome_documented,ogawa2014,clarke2010serotonin
