case_id,claim,design,scale,estimate,ci_low,ci_high,n_cases,n_controls,population,source,provenance,verdict,best_tier,gap_reason,extracted_by,extract_date
MS-011,Ocrelizumab PPMS progression benefit,RCT,hazard ratio,0.7,0.57,0.86,,,,ORATORIO-class,PMID:42208561 ORATORIO-HAND Lancet 2026 (eutils+verified),SUPPORTED,T3-T4,30% risk reduction,eutils auto-parse (verified),2026-07-02
MS-013a,"Childhood BMI -> MS (MR, unadjusted)",MR,odds ratio,1.26,1.17,1.77,14802.0,26703,European,MR UKB,catalog_ms web745; CI from PMID:37963678,SUPPORTED,T3,per SD; drops to 1.03 adj adult BMI,eutils auto-parse (needs biostat check),2026-07-02
MS-013b,Adult BMI -> MS (MR),MR,odds ratio,1.43,,,14802.0,26703,European,MR UKB/IMSGC,catalog_ms web745/718,SUPPORTED,T3,"per SD, pleiotropy-robust; CI not found",MechVal auto-extract,2026-07-02
MS-015,EDSS effect size in progressive MS (2yr),observational,effect size,0.25,,,,,,prog-MS trials review,catalog_ms web768,DISCONFIRMED,T1-T2,reported 0.2-0.3; midpoint used,MechVal auto-extract,2026-07-02
MS-016,Early-HET vs late: EDSS diff @10yr,observational,mean diff,-0.98,,,300.0,,,retrospective cohort,catalog_ms web760/764,SUGGESTIVE,T2-T3,confounding-by-indication live; p<0.0001,MechVal auto-extract,2026-07-02
MS-017,HLA-DRB1*15:01 -> MS,genetic,odds ratio,3.06,2.3,4.08,,,multi (Cauc/Asian/AfAm),meta-analysis,PMID:26656273 Xiao 2015 SciRep meta (VERIFIED),SUPPORTED,T3,pooled meta-OR from 5-study interaction meta-analysis,Perplexity batch2 verified,2026-07-02
MS-018a,HLA-DRB1*15:01 x EBV additive interaction,observational,synergy index,1.43,1.05,1.95,,,multi,Xiao 2015 SciRep,PMID:26656273 (VERIFIED),SUPPORTED,T3,multiplicative interaction NULL: OR 0.86 (0.59-1.26),Perplexity batch2 verified,2026-07-02
MS-018b,EBV seropositivity alone -> MS,observational,odds ratio,2.6,1.48,4.59,,,multi,Xiao 2015 SciRep,PMID:26656273 (VERIFIED),SUPPORTED,T3,from interaction meta-analysis,Perplexity batch2 verified,2026-07-02
MS-020,Female sex -> MS incidence,observational,odds ratio,,,,,,,Atlas of MS,Atlas of MS global,SUPPORTED,T3,~3:1 F:M; no pooled OR extracted,Perplexity batch2,2026-07-02
MS-021,Smoking -> MS (MR negative control),MR,odds ratio,,,,,,,European,Bristol MR,DISCONFIRMED,T1,MR null; exact IVW OR/CI not extracted,Perplexity batch2,2026-07-02
MS-028,Cladribine 3.5mg -> 3mo CDP (CLARITY),RCT,hazard ratio,0.67,0.48,0.93,437.0,437.0,multi,Giovannoni 2010 NEJM,PMID:20089960 (VERIFIED),SUPPORTED,T4,HR 0.67 (0.48-0.93) p=0.02 sustained 3mo EDSS progression,Perplexity sweep4 verified,2026-07-02
MS-029,Natalizumab -> sustained CDP (AFFIRM),RCT,hazard ratio,0.58,0.43,0.77,942.0,,multi,Polman 2006 NEJM,PMID:16510744 (VERIFIED),SUPPORTED,T4,42% reduction,Perplexity batch2 verified,2026-07-02
AD-001,Amyloid-PET+ -> conversion to AD (aMCI),observational,hazard ratio,3.74,1.21,11.58,47.0,,cohort,Sci Rep 2018 PiB aMCI,PMID:29625056 (VERIFIED),SUPPORTED,T3,"small n, wide CI",Perplexity batch3 verified,2026-07-02
AD-001b,Amyloid-PET+ (PiB) -> MCI-AD conversion,observational,hazard ratio,10.2,1.3,78.1,,,memory clinic,memory-clinic PIB study,PMID:29546632 (VERIFIED),SUPPORTED,T3,"very wide CI, small sample",Perplexity batch3 verified,2026-07-02
AD-002a,APOE4 heterozygous -> AD,genetic,odds ratio,3.46,3.27,3.65,,,White,Belloy 2023 JAMA Neurol,PMID:36622685 (VERIFIED),SUPPORTED,T4,"ancestry-stratified: EAsian 4.54, Black 2.18, Hisp 1.90",Perplexity batch3 verified,2026-07-02
AD-002b,APOE4 homozygous -> AD,genetic,odds ratio,23.5,,,,,multi,meta,catalog_ad web946/952/949,SUPPORTED,T4,"reported 13-34; midpoint; CI needs Belloy 2023 ε4/ε4 stratification",MechVal auto-extract,2026-07-02
AD-002c,APOE4/4 women -> AD,genetic,odds ratio,13.5,,,,,multi,meta,catalog_ad web956,SUPPORTED,T4,reported 12-15; midpoint; CI not found,MechVal auto-extract,2026-07-02
AD-003,sTREM2 microglial -> AD (proteomic MR),MR,z-score,9.1,,,,,,plasma-proteomic MR,catalog_ad web930/927,SUPPORTED,T3,"z=9.1, p~1e-19",MechVal auto-extract,2026-07-02
AD-004,"IL-6 signaling -> AD (MR, NEG control)",MR,odds ratio,1.0,,,,,,"MR IL-6/IL-18/ESR",catalog_ad web942/945,DISCONFIRMED,T1,well-powered NULL; negative control,MechVal auto-extract,2026-07-02
AD-005b,T2D -> AD (updated cohort meta),observational,risk ratio,1.53,1.42,1.63,,,multi,2017 updated meta,PMID:28088029 (VERIFIED),SUPPORTED,T3,"Eastern 1.62, Western 1.36; APOE-adj HR may attenuate",Perplexity batch3 verified,2026-07-02
AD-006,Amyloid-PET Centiloid harmonization,diagnostic,r2,0.9,,,,,,Centiloid,catalog_ad web958,SUPPORTED,T3-T4,cross-tracer r2~0.9,MechVal auto-extract,2026-07-02
AD-007,Tau-PET -> cognitive decline,observational,correlation,,,,,,,multi,Ossenkoppele 2021,SUPPORTED,T3,regional r only (-0.45 to -0.002); no single HR,Perplexity batch3,2026-07-02
AD-009a,Plasma p-tau217 sensitivity,diagnostic,proportion,0.825,,,,,,meta p-tau217,catalog_ad web959,SUPPORTED,T3-T4,82-83% sens,MechVal auto-extract,2026-07-02
AD-009b,Plasma p-tau217 specificity,diagnostic,proportion,0.845,,,,,,meta p-tau217,catalog_ad web959,SUPPORTED,T3-T4,83-86% spec,MechVal auto-extract,2026-07-02
AD-009c,Abnormal p-tau217 CU -> impairment,observational,hazard ratio,7.81,3.92,15.59,,,,CU cohort,UTSW p-tau217 2025 A+T+ Cox HR (VERIFIED),SUPPORTED,T3-T4,corrected 6.6->7.81 per Perplexity batch1,Perplexity batch1 verified,2026-07-02
AD-010,sTREM2/GFAP -> progression,observational,hazard ratio,,,,,,,cohort,Benedet/Morenas-Rodriguez,SUGGESTIVE,T2-T3,no ratio-scale HR extracted,Perplexity batch3,2026-07-02
AD-020,"T2D -> AD (MR, per-factor)",MR,odds ratio,,,,,,,MR dementia-prevention,catalog_ad web948,SUGGESTIVE,T2-T3,mixed MR; estimate not numerically given,MechVal auto-extract,2026-07-02
AD-021,"Education -> AD (MR, protective)",MR,odds ratio,,,,,,,MR dementia-prevention,catalog_ad web948,SUPPORTED,T2-T3,pleiotropy-prone; no number in catalog,MechVal auto-extract,2026-07-02
AD-022,SBP -> dementia (MR),MR,odds ratio,,,,,,,MR dementia-prevention,catalog_ad web948,SUPPORTED,T2-T3,best prevention leg; no number in catalog,MechVal auto-extract,2026-07-02
AD-023,GLP-1 semaglutide CDR-SB (EVOKE),RCT,pct_slowing,0.0,,,3808.0,,,EVOKE/EVOKE+,catalog_ad web980/974,DISCONFIRMED,T1-T2,null: no separation from placebo,MechVal auto-extract,2026-07-02
AD-C1,Lecanemab: CDR-SB slowing vs placebo,RCT,pct_slowing,27.0,,,,,,CLARITY-AD,catalog_ad web972/980,SUPPORTED,T3,magnitude near/below MCID debated,MechVal auto-extract,2026-07-02
AD-C2,Anti-tau CSF target engagement,RCT,proportion,0.99,,,,,,QSP / anti-tau trials,catalog_ad web983/979,DISCONFIRMED,T2-T3,"99% CSF engagement, 0 clinical benefit",MechVal auto-extract,2026-07-02
