case_id,claim,design,scale,estimate,ci_low,ci_high,n_cases,n_controls,population,source,provenance,verdict,best_tier,gap_reason,extracted_by,extract_date
AD-005l,Diabetes (midlife) -> dementia (Deng),observational,risk ratio,1.69,1.38,2.07,,,multi,Deng 2019 meta,PMID:31902364 (VERIFIED),Mechanistically Supported,Mechanistically Supported,concordant with AD-005b/c T2D cluster,Perplexity sweep6 verified,2026-07-02
AD-005m,TBI -> dementia,observational,odds ratio,1.81,1.53,2.14,,,multi,2021 TBI meta 25 studies,PMID:34818648 (VERIFIED),Mechanistically Supported,Mechanistically Supported,TBI->AD specifically NULL 1.02(0.91-1.15) — outcome-specificity flag,Perplexity sweep6 verified,2026-07-02
AD-005m2,Mild TBI -> dementia,observational,odds ratio,1.96,1.7,2.26,,,multi,mTBI meta,PMID:33044182 (VERIFIED),Mechanistically Supported,Mechanistically Supported,,Perplexity sweep6 verified,2026-07-02
AD-C1,Lecanemab: CDR-SB slowing vs placebo,RCT,pct_slowing,27.0,,,,,,CLARITY-AD,catalog_ad web972/980,Mechanistically Supported,Mechanistically Supported,magnitude near/below MCID debated,MechVal auto-extract,2026-07-02
AD-C2,Anti-tau CSF target engagement,RCT,proportion,0.99,,,,,,QSP / anti-tau trials,catalog_ad web983/979,Disconfirmed,Disconfirmed,"99% CSF engagement, 0 clinical benefit",MechVal auto-extract,2026-07-02
AD-005a,Hearing loss -> dementia,observational,hazard ratio,1.59,1.37,1.86,,,multi,2021 hearing meta PMC8295986,PMID:34255721 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED — completes the panel; adjusted pooled HR,Perplexity sweep7 verified,2026-07-02
AD-005n,Loneliness -> all-cause dementia,observational,hazard ratio,1.31,1.2,1.43,608561.0,,multi,2024 loneliness meta k=21,PMID:39385020 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED n=608k; AD 1.39(1.29-1.50); persists adj for isolation+depression,Perplexity sweep7 verified,2026-07-02
AD-005n2,Loneliness -> AD specifically,observational,hazard ratio,1.39,1.29,1.5,,,multi,2024 loneliness meta,PMID:39385020 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED,Perplexity sweep7 verified,2026-07-02
AD-005o,Less frequent social contact -> dementia,observational,relative risk,1.57,1.32,1.85,,,multi,Kuiper 2015 meta,PMID:25956016 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED; low social participation 1.41(1.13-1.75),Perplexity sweep7 verified,2026-07-02
AD-005o2,Poor social network -> dementia,observational,relative risk,1.59,1.31,1.96,2370452.0,,multi,Penninkilampi 2018 meta,PMID:30452410 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED I2=0; n=2.37M,Perplexity sweep7 verified,2026-07-02
AD-005p,Heavy alcohol -> AD,observational,relative risk,1.29,1.21,1.36,,,multi,2026 alcohol meta,,Mechanistically Supported,Mechanistically Supported,VERIFIED; overall alcohol NULL 0.97(0.86-1.08); light-mod PROTECTIVE 0.88 — J-curve,Perplexity sweep7 verified,2026-07-02
MS-007b,Vit-D suppl -> MS disease activity (CIS RCT),RCT,hazard ratio,0.66,0.5,0.87,303.0,,CIS/early RRMS,D-Lay MS JAMA 2025,PMID:40254930 (VERIFIED),Causally Suggestive,Causally Suggestive,VERIFIED. Activity HR 0.66(0.50-0.87) BUT relapse alone NULL 0.69(0.42-1.16),Perplexity sweep8 verified,2026-07-02
MS-007c,Vit-D suppl -> MS relapse (meta OR),RCT,odds ratio,0.66,,,1903.0,,RRMS,2025 vitD meta 21 studies,PMID:40797337 (VERIFIED),Causally Suggestive,Causally Suggestive,VERIFIED est OR 0.66 p=0.02; but ANNUAL relapse rate NULL p=0.81 — outcome-dependent,Perplexity sweep8 verified,2026-07-02
MS-007d,High-dose vit-D -> RRMS relapse (VIDAMS RCT),RCT,hazard ratio,1.17,0.67,2.05,165.0,,RRMS,VIDAMS 2023,PMID:36759000 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null: HR 1.17(0.67-2.05) — the etiology-treatment gap in one trial,Perplexity sweep8 verified,2026-07-02
MS-030,Vit-D suppl -> MS relapse (early meta),RCT,odds ratio,0.98,0.45,2.16,129.0,125.0,RRMS,2013 vitD meta,PMID:23698130 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null OR 0.98(0.45-2.16),Perplexity sweep8 verified,2026-07-02
MS-031,"Ocrelizumab -> 12wk CDP (OPERA, vs IFN)",RCT,hazard ratio,0.6,0.45,0.81,827.0,829.0,RRMS,Hauser 2017 NEJM OPERA,PMID:28002679 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED. anti-CD20 head-to-head vs active comparator,Perplexity sweep9 verified,2026-07-02
MS-032b,"Ocrelizumab -> 12wk CDP (ORATORIO, PPMS)",RCT,hazard ratio,0.76,0.59,0.98,488.0,244.0,PPMS,Montalban 2017 NEJM ORATORIO,PMID:26981933 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED; first PPMS-positive DMT — 'significant not dramatic',Perplexity sweep9 verified,2026-07-02
MS-033,Fingolimod -> ARR (FREEDOMS II),RCT,rate ratio,0.52,0.4,0.66,358.0,355.0,RRMS,Calabresi 2014 FREEDOMS II,PMID:24685276 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED relapse; 48% ARR reduction,Perplexity sweep9 verified,2026-07-02
MS-033b,Fingolimod -> disability progression (FREEDOMS II),RCT,hazard ratio,0.83,0.61,1.12,358.0,355.0,RRMS,Calabresi 2014 FREEDOMS II,PMID:24685276 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED NULL for CDP p=0.227 — relapse/progression DISSOCIATION,Perplexity sweep9 verified,2026-07-02
MS-034,Dimethyl fumarate -> ARR (DEFINE/CONFIRM),RCT,rate ratio,0.55,0.4,0.77,172.0,169.0,RRMS,DMF DEFINE/CONFIRM,PMID:28751099 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED prior-IFN subgroup rate ratio,Perplexity sweep9 verified,2026-07-02
MS-035,High-dose biotin MD1003 -> disability improvement (SPI2),RCT,odds ratio,1.35,0.81,2.26,326.0,316.0,progressive MS,Cree 2020 SPI2 Lancet Neuro,PMID:32949547 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null; all endpoints negative incl sNfL,Perplexity sweep10 verified,2026-07-02
MS-036,Simvastatin -> SPMS disability progression (MS-STAT2),RCT,hazard ratio,1.01,0.82,1.25,511.0,509.0,SPMS,MS-STAT2 2026 HTA,(VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null — high-profile neuroprotection failure,Perplexity sweep10 verified,2026-07-02
AD-030,Ginkgo biloba -> incident dementia (GEM),RCT,hazard ratio,1.12,0.94,1.33,1545.0,1524.0,elderly,DeKosky 2008 GEM JAMA,PMID:19017911 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null p=0.21; large prevention RCT,Perplexity sweep10 verified,2026-07-02
AD-031,CEE+MPA (HRT) -> incident dementia (WHIMS),RCT,hazard ratio,2.05,1.21,3.48,2229.0,2303.0,women 65+,Shumaker 2003 WHIMS JAMA,PMID:12771112 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED — therapy that INCREASES risk; HR 2.05 harmful,Perplexity sweep10 verified,2026-07-02
AD-031b,Pooled HRT -> probable dementia (WHIMS),RCT,hazard ratio,1.76,1.19,2.6,,,women 65+,WHIMS pooled 2004,PMID:15213206 (VERIFIED),Mechanistically Supported,Mechanistically Supported,VERIFIED pooled estrogen+/-progestin,Perplexity sweep10 verified,2026-07-02
AD-032,"Solanezumab -> progression to AD dementia (A4, preclinical)",RCT,hazard ratio,1.08,0.86,1.35,1169.0,1169.0,preclinical AD,Sperling 2023 A4 NEJM,PMID:38414336 (VERIFIED),Disconfirmed,Disconfirmed,"VERIFIED null; primary PACC null, progression HR ~1.0",Perplexity sweep11 verified,2026-07-02
AD-033,Solanezumab -> ADAS/CDR decline (EXPEDITION3),RCT,risk ratio,0.95,0.86,1.05,1057.0,1072.0,mild AD,Honig 2018 NEJM,PMID:29365294 (VERIFIED),Disconfirmed,Disconfirmed,"VERIFIED null; 11% non-sig slowing CDR-SB, ratio~0.95",Perplexity sweep11 verified,2026-07-02
AD-034,Semaglutide -> cognitive decline (EVOKE/EVOKE+),RCT,hazard ratio,1.0,0.88,1.14,,,early AD,EVOKE 2025 Novo Nordisk topline,,Disconfirmed,Disconfirmed,VERIFIED null Nov2025; no CDR-SB benefit despite biomarker gains,Perplexity sweep11 verified,2026-07-02
AD-035,Semagacestat -> functional/cog decline,RCT,risk ratio,1.1,1.0,1.21,1033.0,501.0,mild-mod AD,Doody 2013 NEJM,PMID:23883379 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED worse-than-placebo trend; stopped early; harm on ADL,Perplexity sweep11 verified,2026-07-02
AD-036,"Aducanumab high-dose -> CDR-SB (ENGAGE, null study)",RCT,risk ratio,1.02,0.9,1.16,547.0,545.0,early AD,ENGAGE 2020 (null twin),,Disconfirmed,Disconfirmed,VERIFIED; ENGAGE null (2% p=0.83) — the failed twin of EMERGE,Perplexity sweep11 verified,2026-07-02
AD-037,"Verubecestat -> progression (EPOCH, mild-mod)",RCT,hazard ratio,1.05,0.9,1.22,653.0,652.0,mild-mod AD,Egan 2018 NEJM,PMID:30185880 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null/worse; BACE inhibitor futility-stopped,Perplexity sweep11 verified,2026-07-02
