family,leg,registered_value,value_origin,source_key,claim_ids,source_reports,classification_under_source_value,note
Niacin/HDL,OBS,OR 0.62 (no CI),quoted,voight2012,hdl-obs,observational per 1 SD HDL-C OR 0.62 (0.58-0.66),unchanged,Exact match; shared with the other HDL family.
Niacin/HDL,GEN,OR 0.93 (0.68-1.26),quoted,voight2012,hdl-gen,14-SNP HDL score per 1 SD OR 0.93 (0.68-1.26),unchanged,"Exact match, point and interval; shared with the other HDL family."
Niacin/HDL,OUTCOME,Failed,outcome_documented,PMID:22085343;PMID:25014686;PMID:24622598;PMID:25178730,,AIM-HIGH and HPS2-THRIVE (Phase III) not met; EMA suspended niacin/laropiprant 2013,unchanged,"Codebook: not met, safety limiting, not approved."
Homocysteine,OBS,OR 1.32 (no CI),replacement_citation,wald2002homocysteine,homocysteine-obs,"OR 1.32 (1.19-1.45) per 5 umol/L increase, prospective studies, IHD",unchanged,manuscript names no source for the observational leg; HSC 2002 (per 25% lower) is not the source
Homocysteine,GEN,OR 1.02 (0.98-1.07),quoted,clarke2012,homocysteine-gen,MTHFR TT vs CC CHD OR 1.02 (0.98-1.07),unchanged,Exact match; unscaled genotype contrast.
Homocysteine,OUTCOME,Failed,outcome_documented,PMID:20937919;PMID:16531613;PMID:16531614,,"B-vitamin meta-analysis RR 1.01 (0.97-1.05); HOPE-2, NORVIT not met",unchanged,"Codebook: not met; academic trials, no submission. HOPE-2 is registered Phase 4 on CT.gov."
CRP,OBS,OR 1.37 (no CI),quoted,kaptoge2010crp,crp-obs; crp-obs-abstract,1.37 (1.27-1.48),unchanged,batch4 2026-09-23
CRP,GEN,OR 1.00 (0.97-1.02),quoted,elliott2009,crp-gen,CRP-locus MR OR 1.00 (0.97-1.02) per 20% lower CRP,unchanged,Exact match.
CRP,OUTCOME,No benefit,outcome_documented,PMID:28845751;NCT:NCT01327846;PMID:31882264,,"CANTOS (Phase III) 150 mg met primary (HR 0.85, 0.74-0.98); FDA did not approve for CV risk reduction",unchanged,Codebook lists a disagreement: efficacy met at one dose; 'No benefit' holds only as a regulatory reading.
LDL/PCSK9,OBS,OR 1.52 (no CI),coding_error,ference2019ldl,ldl-obs-log-linear,"ference2019ldl text gives no numeric estimate (log-linear association, slopes plotted in Figure 2); voight2012 observational LDL OR 1.54 (1.45-1.63) per SD (not pinned)",unchanged (1.54 d 0.238; OBS non-trivial),"Not located in the cited consensus statement's extracted text; Figure 2 was not read numerically. Supplement names Lewington 2007 PSC / Ference 2017, neither pinned."
LDL/PCSK9,GEN,OR 1.78 (1.58-2.01),quoted,holmes2015,ldl-gen,per 1 mmol/L LDL-C unrestricted score OR 1.78 (1.58-2.01),unchanged,"Exact match, point and interval."
LDL/PCSK9,OUTCOME,Approved,outcome_documented,PMID:28304224;PMID:30403574;PMID:26323342;PMID:26370210,,"FOURIER HR 0.85 (0.79-0.92), ODYSSEY OUTCOMES HR 0.85 (0.78-0.93); approved 2015",unchanged,"Codebook: Phase III met, approved."
Blood pressure,OBS,OR 1.41 (no CI),derived,Lewington 2002 (PSC),,Lewington 2002: each 20 mmHg SBP gives a more than twofold difference in stroke death; per 10 mmHg = sqrt(2) = 1.41,unchanged,relation stated in abstract; value itself not printed | batch4 2026-09-23
Blood pressure,GEN,OR 1.44 (1.35-1.55),coding_error,georgakis2020,bp-gen-any-stroke; bp-gen-scaling,"Figure 2, SBP per 10 mmHg: any stroke 1.39 (1.33-1.44); ischemic 1.41 (1.35-1.47); large artery 1.68 (1.54-1.84); cardioembolic 1.24 (1.16-1.34); small vessel 1.47 (1.36-1.58); ICH 1.41 (1.11-1.79)","unchanged (any stroke 1.39 (1.33-1.44) d 0.182, CI excludes 1, causal)","No row equals 1.44 (1.35-1.55). Figure values read visually from the rendered page, not pinnable; direction and scaling pinned."
Blood pressure,OUTCOME,Approved,outcome_documented,PMID:33933205;PMID:11589932,,BPLTTC HR 0.91 (0.89-0.94) per 5 mmHg; PROGRESS stroke RRR 28%,unchanged,Codebook: class level; approved for every major class.
Triglycerides,OBS,OR 1.72 (no CI in classifier; supplement 1.56-1.90),quoted,sarwar2007tg,triglycerides-obs,1.72 (1.56-1.90),unchanged,batch4 2026-09-23
Triglycerides,GEN,OR 1.62 (1.24-2.11),quoted,holmes2015,triglycerides-gen; triglycerides-gen-abstract,unrestricted TG score OR 1.62 (1.24-2.11) per 1 log-unit,unchanged,Exact match. Unit is per log-unit TG; manuscript footnote e says per 1 mmol/L.
Triglycerides,OUTCOME,Approved,outcome_documented,PMID:30415628;PMID:36342113;PMID:33190147;PMID:20228404;PMID:32959713,,"REDUCE-IT met (HR 0.75); PROMINENT, STRENGTH, ACCORD-Lipid not met; icosapent ethyl CV label",unchanged,"Codebook: efficacy mixed, attribution uncertain, listed under disagreements; Approved holds on icosapent ethyl's regulatory record."
IL-23-psoriasis,OBS,d 0.66,coding_error,dowlatshahi2013 (cited in classifier note),,"Dowlatshahi 2013 meta-analysis covers IL-1b, IL-6, IL-10, TNF-a, CRP, ICAM-1; no IL-23 estimate","unchanged if the leg rests on the tissue p19 expression (22-fold, Lee 2004) the classifier note names; no numeric source for 0.66","classifier note already says the observational leg rests on tissue expression, not serum"
IL-23-psoriasis,GEN,OR 0.616 (0.563-0.674),quoted,zhu2012il23r,il23-psoriasis-gen,0.616 (0.563-0.674),unchanged,variant-disease association | batch4 2026-09-23
IL-23-psoriasis,OUTCOME,Approved,outcome_documented,PMID:28057360;PMID:28057361;FDA:BLA761061;FDA:BLA125261,,"guselkumab VOYAGE 1/2 met, FDA 2017; ustekinumab FDA 2009",unchanged,"Codebook: Phase III met, approved."
CTLA-4-RA,OBS,d 0.50,author_estimated,PMID 22917707 (Liu 2012),,"sCTLA-4 elevated in RA, p=0.005, 6.8 ng/mL; no SMD",unchanged,Author-estimated SMD (classifier obs_sourcing = author_estimated) from a reported p-value. Source not held.
CTLA-4-RA,GEN,OR 0.86 (0.78-0.95),coding_error,daha2009ctla4,ctla4-ra-gen-pooled,"CTLA4 rs3087243 pooled Caucasian OR 0.86 (0.78-0.96), Table 2","unchanged (d 0.083, null)","point and lower bound match; upper bound 0.96 in source, 0.95 registered"
CTLA-4-RA,OUTCOME,Approved,outcome_documented,PMID:16785475;PMID:16162882;FDA:BLA125118,,abatacept AIM and ATTAIN met; FDA 2005,unchanged,"Codebook: Phase III met, approved."
TNF-a-RA,OBS,d 1.93,quoted,wei2015tnfra,tnf-ra-obs; tnf-ra-obs-abstract; tnf-ra-obs-14-studies,SMD 1.93,unchanged,"Wei 2015 Med Sci Monit, not Wang | batch4 2026-09-23"
TNF-a-RA,GEN,OR 1.00 (no CI),coding_error,liu2025raMRtargets,,no TNF estimate reported; 1.00 is a placeholder for a null result,unchanged,batch4 2026-09-23
TNF-a-RA,OUTCOME,Approved,outcome_documented,PMID:10075615;PMID:10415055;FDA:BLA103795;FDA:BLA103772,,"etanercept FDA 1998; infliximab (ATTRACT, Phase III) RA FDA 1999",unchanged,"Codebook: Phase III met, approved."
IL-17-psoriasis,OBS,d 0.47,quoted,zhou2017il17,il17-psoriasis-obs,SMD 0.47,unchanged,batch4 2026-09-23
IL-17-psoriasis,GEN,OR 0.998 (no CI),derived,wu2021il17mr,,IVW beta -0.00186 (se 0.00043) per allele on psoriatic arthritis; exp(beta)=0.998,unchanged,"OR is exp(beta); outcome is PsA, not psoriasis | batch4 2026-09-23"
IL-17-psoriasis,OUTCOME,Approved,outcome_documented,PMID:25007392;FDA:BLA125504,,secukinumab ERASURE/FIXTURE met; FDA 2015,unchanged,"Codebook: Phase III met, approved."
JAK-STAT-RA,OBS,d 0.50,author_estimated,PMC12520596 (Osman 2025),,"serum STAT4 elevated in RA, p=0.01; no SMD",unchanged,Author-estimated SMD (classifier obs_sourcing = author_estimated) from a reported p-value. Source not held.
JAK-STAT-RA,GEN,OR 1.27 (1.20-1.34),quoted,ji2010stat4,jakstat-ra-gen,1.27 (1.20-1.34),unchanged,"first author Ji, not Lee | batch4 2026-09-23"
JAK-STAT-RA,OUTCOME,Approved,outcome_documented,PMID:22873530;PMID:22873531;FDA:NDA203214,,tofacitinib ORAL Solo/Standard met; FDA 2012,unchanged,"Codebook: Phase III met, approved."
CD20-RA,OBS,d 0.50,author_estimated,,,classifier note: RF positivity 60-80%; B-cell synovial infiltration; no SMD,unchanged,Author-estimated SMD (classifier obs_sourcing = author_estimated) with no quantitative source at all.
CD20-RA,GEN,OR 1.291 (1.19-1.391),quoted,yan2024fcrl3ssrn,cd20-ra-gen,"OR 1.291 (1.190-1.391), SSRN 4709115 abstract",unchanged,"frozen value matches the preprint exactly; Jin et al. 2024 (Autoimmunity) is a different study reporting FCRL3 OR 1.15 (1.10-1.20), pinned as cd20-ra-gen-published in jin2024fcrl3"
CD20-RA,OUTCOME,Approved,outcome_documented,PMID:16947627;FDA:BLA103705,,rituximab REFLEX (Phase III) met; FDA 2006,unchanged,"Codebook: Phase III met, approved."
IL-1b-CVD,OBS,OR 1.37 (no CI),quoted,kaptoge2010crp,il1b-cvd-obs,1.37 (1.27-1.48),unchanged,same passage as CRP OBS | batch4 2026-09-23
IL-1b-CVD,GEN,OR 1.00 (no CI),coding_error,PMID 32223966 (Yuan/Larsson 2020),,Yuan 2020: IL-1b variant not available in CARDIoGRAMplusC4D; no estimate exists; 1.00 is a placeholder,unchanged,"already disclosed in manuscript (no CI, no cited MR source) | batch4 2026-09-23"
IL-1b-CVD,OUTCOME,Failed,outcome_documented,PMID:28845751;NCT:NCT01327846;PMID:31882264;FDA:BLA125319,,"CANTOS 150 mg met primary (HR 0.85, 0.74-0.98); not approved for CV risk reduction",unchanged,Codebook lists a disagreement: Failed holds only as a regulatory/development composite.
VitD-Cancer,OBS,RR 0.78 (no CI),replacement_citation,mccullough2019vitd,vitd-crc-obs-q5-vs-q3; vitd-crc-obs-q3-referent,Q5 vs Q3 25(OH)D and CRC RR 0.78 (0.65-0.94),unchanged,Manuscript cites keum2014vitdobscancer with 'OR 0.80 highest vs lowest quintile'; Keum 2014 is an RCT meta-analysis with no observational estimate.
VitD-Cancer,GEN,OR 0.97 (0.88-1.07),replacement_citation,lawler2023vitd,vitd-crc-gen,0.97 (0.88-1.07),unchanged,manuscript cites ong2021vitdcancer | batch4 2026-09-23
VitD-Cancer,OUTCOME,Failed,outcome_documented,PMID:30415629;NCT:NCT01169259,vitd-cancer-outcome; vitd-cancer-dose,VITAL (Phase III) cancer HR 0.96 (0.88-1.06); CRC secondary HR 1.09 (0.73-1.62),unchanged,Codebook: not met.
IGF1-CRC,OBS,OR 1.12 (no CI),coding_error,"rinaldi2019igfobs (bib resolves to Rinaldi 2010, PMID 19810099); intended Murphy 2020, PMID 31884074",,"Murphy 2020 Table 2 (UK Biobank): 1.12 (1.01-1.24) is DISTAL COLON per-SD HR; colorectal both sexes Q5 vs Q1 HR 1.24 (1.10-1.40) Model 1, 1.34 (1.18-1.52) Model 2; colorectal per-SD 1.07 (1.02-1.13) M1, 1.11 (1.05-1.17) M2. Cited Rinaldi 2010 abstract: RR 1.07 (1.01-1.14) per SD.","CHANGES under the colorectal Q5vQ1 rows the manuscript describes (1.24 d 0.119, 1.34 d 0.161): OBS becomes non-trivial, genetic-only signal -> concordance; prediction (success) and score (miss vs Failed) unchanged. Under colorectal per-SD rows (d 0.037, 0.058) unchanged.","Right paper, wrong row. Classifier cites 'Rinaldi 2019, PMID 31884076', a garbled citation of Murphy 2020. Checked against PMC full text; no claim pins it."
IGF1-CRC,GEN,OR 1.22 (1.09-1.36),quoted,larsson2020igfcancer,igf1-crc-gen-japan; igf1-crc-gen-abstract,BioBank Japan per SD OR 1.22 (1.09-1.36); UK Biobank 1.11 (1.01-1.22),unchanged,"Exact match; the stored value is the Japanese estimate, not the European one."
IGF1-CRC,OUTCOME,Failed,outcome_documented,PMID:24888810;NCT:NCT00596830;PMID:36669140;NCT:NCT02306161;NCT:NCT01231347,igf1-crc-outcome-figitumumab; igf1-crc-outcome-figitumumab-hr; igf1-crc-outcome-ganitumab; igf1-crc-outcome-ganitumab-conclusion,figitumumab NSCLC Phase III OS HR 1.18 (0.99-1.40); ganitumab Ewing EFS HR 1.00 (0.76-1.33); discontinued,unchanged,"Codebook: indication mismatch, no Phase III readout in colorectal cancer."
Estrogen-BC,OBS,RR 1.30 (no CI),quoted,beral2003mws,estrogen-bc-obs,current estrogen-only users RR 1.30 (1.21-1.40),unchanged,Exact match (abstract).
Estrogen-BC,GEN,OR 1.03 (1.01-1.06),quoted,shi2023estradiolBC,estrogen-bc-gen; estrogen-bc-gen-results,estradiol per SD overall BC OR 1.03 (1.01-1.06),unchanged,Exact match. Classifier names Nounu 2022 (PMID 36209141); key shi2023estradiolBC holds DOI 10.1186/s13058-022-01553-9.
Estrogen-BC,OUTCOME,Approved,outcome_documented,PMID:9747868;PMID:23639488;FDA:NDA017970,estrogen-bc-outcome; estrogen-bc-outcome-hr,tamoxifen P-1 met; FDA risk-reduction 1998; Cuzick HR 0.62 (0.56-0.69),unchanged,"Codebook: Phase III met, approved."
Eos/IL5-Asthma,OBS,d 0.80,author_estimated,wagener2022eosinophils,eos-asthma-obs-medians,"median EOS counts: asthma 157-280, severe asthma 200-400, controls 100-160 cells/uL; no SMD",unchanged,"Author-estimated SMD (classifier obs_sourcing = author_estimated) from reported median ranges; source populations are asthma and severe asthma, not severe vs mild."
Eos/IL5-Asthma,GEN,OR 1.50 (1.23-1.83),replacement_citation,guyatt2023eos,eos-asthma-gen,1.50 (1.23-1.83),unchanged,manuscript cites han2020eosinophilasthma | batch4 2026-09-23
Eos/IL5-Asthma,OUTCOME,Approved,outcome_documented,PMID:25199059;NCT:NCT01691521;PMID:22901886;FDA:BLA125526,eos-asthma-outcome-mensa; eos-asthma-outcome-mensa-conclusion; eos-asthma-outcome-mepolizumab,mepolizumab MENSA (Phase III) exacerbations -47%/-53%; FDA 2015,unchanged,"Codebook: Phase III met, approved. Manuscript cites DREAM, which is Phase 2."
SGLT2-HF,OBS,RR 1.75 (no CI),coding_error,ohkuma2019diabetesHF,,"sex-specific only: women 1.95 (1.70-2.22), men 1.74 (1.55-1.95); no 1.75",unchanged,manuscript cites ference2019 (wrong paper) | batch4 2026-09-23
SGLT2-HF,GEN,OR 0.44 (0.26-0.76),quoted,zheng2020sglt2mr,sglt2-hf-gen,SGLT2 inhibition HF OR 0.44 (0.26-0.76),unchanged,Exact match. Key says zheng2020; the paper is Luo et al. 2024 (PMID 38725835).
SGLT2-HF,OUTCOME,Approved,outcome_documented,PMID:31535829;PMID:32865377;FDA:NDA202293;FDA:NDA204629,,"DAPA-HF HR 0.74, EMPEROR-Reduced HR 0.75; FDA 2020, 2021",unchanged,"Codebook: Phase III met, approved."
Urate-Gout,OBS,HR 3.2 (no CI),derived,robinson2021urate,urate-gout-obs-band-hrs,band HRs vs <4.00 mg/dL: 5.50-5.99 2.60; 6.00-6.50 3.70; 6.50-6.99 5.24; >7.00 18.62; no per-SD HR,unchanged,Read from the dose-response curve (classifier: 'derived ... not directly reported'). The only 3.2 in the text is a 15-year cumulative incidence.
Urate-Gout,GEN,OR 5.0 (3.5-8.0),derived,jordan2019urate,urate-gout-gen-positive-control; urate-gout-gen-26-snvs,"positive control: OR 3.41 to 6.04 per 1 mg/dL across 7 MR methods, all P < 1e-3; no point estimate or CI",unchanged,"Rescaled per SD (1.2 mg/dL): 3.41^1.2 = 4.36, 6.04^1.2 = 8.65 ('range 4.4-8.7'); the stored point 5.0 and interval 3.5-8.0 are not a stated transformation of a source CI. Classifier calls the paper 'Li 2019'; it is Jordan 2019."
Urate-Gout,OUTCOME,Approved,outcome_documented,PMID:16339094;NCT:NCT00430248;FDA:NDA021856;FDA:NDA016084,,febuxostat FACT/CONFIRMS met; FDA 2009; allopurinol 1966,unchanged,"Codebook: Phase III met, approved."
IL6-MDD,OBS,d 0.15,quoted,howren2009,il6-mdd-obs,CRP d 0.15 (0.10-0.21),unchanged,Exact match.
IL6-MDD,GEN,OR 1.01 (0.99-1.04),quoted,galan2022crpdepression,il6-mdd-gen; il6-mdd-gen-table3-512snps,"CRP -> depression OR 1.01 (0.99-1.04), 512 SNPs",unchanged,"Manuscript cites galan2022crpdepression for this value. The registration declared IL6R cis instruments; that estimate (kelly2021il6r, OR 1.023 (1.006-1.039), pinned il6-mdd-gen-il6r) is also null. If the registration-intended instrument is taken as the intended source, this row reads replacement_citation."
IL6-MDD,OUTCOME,Failed,outcome_documented,NCT:NCT02473289,,"sirukumab adjunctive MDD, Phase 2: HDRS-17 LS-mean difference -0.8 (-2.77 to 1.10), p=0.31; discontinued",unchanged,"Phase II readout, not Phase III: the one scored family without Phase III. Registry records COMPLETED, not 'terminated for futility'; the cited Boyle 2020 publication was not found."
Complement-GA,OBS,d 0.50,author_estimated,reynolds2009,,"classifier note: C3a, C5a, Ba, C3d elevated in AMD, p<0.001 (n=112 vs 67); no SMD",unchanged,Author-estimated SMD (classifier obs_sourcing = author_estimated) from p-values. The saved artifact under PMID 18628698 is an unrelated spine-surgery paper; the source needs re-fetching by DOI 10.1167/iovs.09-3928.
Complement-GA,GEN,OR 2.50 (2.20-2.85),coding_error,thakkinstian2006,complement-ga-gen,"Thakkinstian 2006 full text: pooled OR2 (TC vs TT) 2.50 (1.96-3.30); per-allele ""approximately 2.5""; no 2.20-2.85 interval","unchanged (lower bound 1.96, d 0.37)",point estimate matches; interval does not. Full-text finding recorded here; claims file stays abstract-backed (pinned quotes are not edited).
Complement-GA,OUTCOME,Failed,outcome_documented,PMID:29801123;NCT:NCT02247479;NCT:NCT02247531,,"lampalizumab CHROMA/SPECTRI (Phase III) not met, terminated",unchanged,"Codebook: not met, discontinued. Same indication later approved for pegcetacoplan and avacincaptad pegol (other nodes)."
Sclerostin-Fracture,OBS,HR 0.55 (no CI),quoted,szulc2014,sclerostin-obs,higher sclerostin HR 0.55 (0.31-0.96),unchanged,"Exact match. Source contrast is two highest vs three lowest quintiles and n=710, not tertiles and n=725 as the classifier says."
Sclerostin-Fracture,GEN,OR 0.59 (0.54-0.66),quoted,bovijn2020,sclerostin-gen,0.59 (0.54-0.66),unchanged,author accepted manuscript | batch4 2026-09-23
Sclerostin-Fracture,OUTCOME,Approved,outcome_documented,PMID:27641143;PMID:28892457;FDA:BLA761062,,"romosozumab FRAME, ARCH met; FDA 2019",unchanged,"Codebook: Phase III met, approved."
Serotonin-MDD,OBS,d 0.45,quoted,ogawa2014,serotonin-mdd-obs,plasma tryptophan Hedges g -0.45 (bias-adjusted); unmedicated -0.84,unchanged,Magnitude matches; the source sign is negative (lower tryptophan in MDD) and the classifier stores the magnitude.
Serotonin-MDD,GEN,OR 1.08 (1.03-1.12),quoted,clarke2010serotonin,serotonin-mdd-gen,5-HTTLPR and unipolar depression OR 1.08 (1.03-1.12),unchanged,Exact match; variant-disease association.
Serotonin-MDD,OUTCOME,Approved,outcome_documented,FDA:NDA018936;PMID:29477251,,fluoxetine FDA 1987,unchanged,Codebook: approved; pre-registration-era program.
