family,leg,number,source_hint,ids
TNF-a-RA,OUTCOME,Approved,"anti-TNF class in RA: etanercept (Enbrel; TNFR2:Fc), first approved for RA; infliximab (Remicade; anti-TNF mAb) RA suppl",PMID:10075615;PMID:9219699;PMID:10622295;PMID:10415055;FDA:BLA103795;FDA:BLA103772;PMID:10375846
IL-17-psoriasis,OBS,d 0.47,"IL-17: meta-analysis of 8 studies, SMD=0.47 (CI 0.07-0.86) Zhou 2017 PMID 27925680",27925680
IL-17-psoriasis,GEN,0.998,PMID 33188428,PMID 33188428
IL-17-psoriasis,OUTCOME,Approved,"secukinumab (Cosentyx; anti-IL-17A), first-approved IL-17A antagonist",PMID:25007392;NCT:NCT01365455;NCT:NCT01358578;PMID:31129129;PMID:20926833;FDA:BLA125504
JAK-STAT-RA,OBS,d 0.5,STAT4/JAK: serum STAT4 elevated in RA p=0.01 (Osman 2025 PMC12520596); STAT1/STAT4/Jak3 elevated in synovium (Walker 2006),PMC12520596
JAK-STAT-RA,GEN,1.27 (1.2-1.34),PMID 19479340,PMID 19479340
JAK-STAT-RA,OUTCOME,Approved,"tofacitinib (Xeljanz; JAK1/JAK3 inhibitor), first-approved JAK inhibitor for RA",PMID:22873530;PMID:22873531;NCT:NCT00814307;NCT:NCT00853385;PMID:25398374;FDA:NDA203214
CD20-RA,OBS,d 0.5,"CD20/B-cell: RF positivity 60-80% in RA; B-cell infiltration in synovium FCRL3 GWAS OR 2.15 (Kochi 2005, Nature Genetics)",
CD20-RA,GEN,1.291 (1.19-1.391),"SSRN 4709115 (preprint, 2024)","SSRN 4709115 (preprint, 2024)"
CD20-RA,OUTCOME,Approved,"rituximab (Rituxan/MabThera; anti-CD20), first-approved B-cell-depleting agent for RA",PMID:16947627;NCT:NCT00468546;PMID:15201414;PMID:16649186;FDA:BLA103705
IL-1b-CVD,OBS,1.37,IL-1b/CVD: CRP/IL-1 inflammatory axis observational OR 1.37 (ERFC 2010) Same construct as cardio CRP family,
IL-1b-CVD,GEN,1.0,PMID 32223966,PMID 32223966
IL-1b-CVD,OUTCOME,Failed,"canakinumab (Ilaris; anti-IL-1 beta), CANTOS",PMID:28845751;NCT:NCT01327846;PMID:29146124;PMID:31882264;PMID:30649147;FDA:BLA125319
VitD-Cancer,OBS,0.78,"--- ONCOLOGY --- O1: VitD-Cancer OBS = JNCI pooled 17 cohorts, Q5 vs Q3 (mid-quintile ref) 25(OH)D and CRC (McCullough 2019, PMID 29912394): RR 0.78 (0.65-0.94) MR = systematic review of MR studies, p",29912394;36678292
VitD-Cancer,GEN,0.97 (0.88-1.07),PMID 36678292,PMID 36678292
VitD-Cancer,OUTCOME,Failed,"vitamin D3 2000 IU/day (VITAL; academic prevention trial, sponsor Brigham and Women's Hospital)",PMID:30415629; DOI:10.1056/NEJMoa1809944; NCT:NCT01169259
IGF1-CRC,OBS,1.12,"O2: IGF1-CRC OBS = serologic analysis, per-quintile IGF-1 and CRC (Rinaldi 2019, PMID 31884076, Gastroenterology): OR ~1.12 MR = genetically predicted IGF-1 per SD and CRC, 416 SNPs (Larsson 2020, PMI",31884076;32717139
IGF1-CRC,GEN,1.22 (1.09-1.36),PMID 32717139,PMID 32717139
IGF1-CRC,OUTCOME,Failed,"figitumumab (Pfizer; Phase III NSCLC) and ganitumab (COG AEWS1221 Ewing sarcoma; QUILT-2.014 pancreatic), as the manuscr",PMID:24888810; DOI:10.1200/JCO.2013.54.4932; NCT:NCT00596830; PMID:36669140; DOI:10.1200/JCO.22.01815; NCT:NCT02306161; NCT:NCT01231347
Estrogen-BC,OBS,1.3,"O3: Estrogen-BC OBS = estrogen-only HRT and breast cancer (Million Women Study, Beral 2003, PMID 12927427, Lancet): RR 1.30 MR = estradiol per SD and overall breast cancer, 2 SNPs (CYP19A1-based) (Nou",12927427;36209141
Estrogen-BC,GEN,1.03 (1.01-1.06),PMID 36209141,PMID 36209141
Estrogen-BC,OUTCOME,Approved,"tamoxifen (NSABP P-1 Breast Cancer Prevention Trial; Nolvadex NDA 017970), as the manuscript names; aromatase inhibitors",PMID:9747868; DOI:10.1093/jnci/90.18.1371; PMID:23639488; DOI:10.1016/S0140-6736(13)60140-3; FDA:NDA017970; FDA:NDA021807
Eos/IL5-Asthma,OBS,d 0.8,"--- RESPIRATORY --- R1: Eos/IL5-Asthma OBS = eosinophil count in severe vs mild asthma (Wagener 2022, estimated SMD ~0.80) MR = eosinophil count per SD and moderate-severe asthma, 151 variants (Guyatt",
Eos/IL5-Asthma,GEN,1.5 (1.23-1.83),PMID 35537820,PMID 35537820
Eos/IL5-Asthma,OUTCOME,Approved,mepolizumab (Nucala BLA 125526; MENSA pivotal Phase III; DREAM Phase IIb dose-ranging); benralizumab named in manuscript,PMID:25199059; DOI:10.1056/NEJMoa1403290; NCT:NCT01691521; PMID:22901886; DOI:10.1016/S0140-6736(12)60988-X; NCT:NCT01000506; FDA:BLA125526
SGLT2-HF,OBS,1.75,"--- METABOLIC/ENDOCRINE --- M1: SGLT2-HF OBS = T2D and HF risk, meta-analysis of 47 cohorts, 12M individuals (Ohkuma 2019, PMID 31317230, Diabetologia): RR 1.74 (men) to 1.95 (women) MR = drug-target ",31317230;PMC11079590
SGLT2-HF,GEN,0.44 (0.26-0.76),PMID 38725835,PMID 38725835
SGLT2-HF,OUTCOME,Approved,"dapagliflozin (Farxiga NDA 202293; DAPA-HF) and empagliflozin (Jardiance NDA 204629; EMPEROR-Reduced), as the manuscript",PMID:31535829; DOI:10.1056/NEJMoa1911303; NCT:NCT03036124; PMID:32865377; DOI:10.1056/NEJMoa2022190; NCT:NCT03057977; FDA:NDA202293; FDA:NDA204629
Urate-Gout,OBS,3.2,"M3: Urate-Gout OBS = serum urate and incident gout, longitudinal cohort (Robinson 2021, PMC8399746): HR 18.62 for >=7 vs <4 mg/dL; per-SD (SD ~1.2 mg/dL) HR ~3.2 derived from dose-response curve (not ",PMC8399746;PMC6333326
Urate-Gout,GEN,5.0 (3.5-8.0),PMID 30645594,PMID 30645594
Urate-Gout,OUTCOME,Approved,"febuxostat (Uloric NDA 021856; FACT, CONFIRMS, CARES) coded as the program with a modern trial record; allopurinol (Zylo",PMID:16339094; DOI:10.1056/NEJMoa050373; PMID:20370912; DOI:10.1186/ar2978; NCT:NCT00430248; PMID:29527974; DOI:10.1056/NEJMoa1710895; NCT:NCT01101035; FDA:NDA021856; FDA:NDA016084
IL6-MDD,OBS,d 0.15,"B1: IL-6 signaling -> MDD OBS = CRP and depression, meta-analysis of 41 community+clinical studies (Howren 2009, Psychosom Med, PMID 19592519): CRP d=0.15 (0.10-0.21) MR = genetically predicted CRP (>",19592519
IL6-MDD,GEN,1.01 (0.99-1.04),"PMID:36057695 (Galan 2022, Sci Rep)","PMID:36057695 (Galan 2022, Sci Rep)"
IL6-MDD,OUTCOME,Failed,sirukumab 50 mg SC adjunctive to a monoaminergic antidepressant (Janssen; NCT02473289),NCT:NCT02473289
Complement-GA,OBS,d 0.5,"B3: Complement pathway (Factor D) -> geographic atrophy OBS = complement activation products (C3a, C5a, Ba, C3d) significantly elevated in AMD patients vs controls (p<0.001 for Ba, C3d) (Reynolds 2009",18628698;16905558
Complement-GA,GEN,2.5 (2.2-2.85),PMID 16905558,PMID 16905558
Complement-GA,OUTCOME,Failed,"lampalizumab, anti-complement factor D Fab (Roche; CHROMA and SPECTRI), the registered program; later same-indication ap",PMID:29801123; DOI:10.1001/jamaophthalmol.2018.1544; NCT:NCT02247479; NCT:NCT02247531; PMID:37865470; DOI:10.1016/S0140-6736(23)01520-9; NCT:NCT03525613; NCT:NCT03525600; PMID:37696275; DOI:10.1016/S0
Sclerostin-Fracture,OBS,0.55,"B4: Sclerostin -> osteoporotic fracture OBS = MINOS prospective cohort (men, n=725, 10yr follow-up) (Szulc 2014, PMID 23165952): HR 0.55 (0.31-0.96) per highest vs lowest sclerostin tertile — PROTECTI",23165952;32581134
Sclerostin-Fracture,GEN,0.59 (0.54-0.66),PMID 32581134,PMID 32581134
Sclerostin-Fracture,OUTCOME,Approved,romosozumab (Evenity BLA 761062; FRAME and ARCH),PMID:27641143; DOI:10.1056/NEJMoa1607948; NCT:NCT01575834; PMID:28892457; DOI:10.1056/NEJMoa1708322; NCT:NCT01631214; FDA:BLA761062
Serotonin-MDD,OBS,d 0.45,"B5: Serotonin transporter -> MDD OBS = plasma tryptophan (serotonin precursor) in MDD vs controls (Ogawa 2014, J Clin Psychiatry, PMID 25295433): Hedges g=0.45 (0.84 in unmedicated patients). Plasma s",25295433
Serotonin-MDD,GEN,1.08 (1.03-1.12),PMID 20380781,PMID 20380781
Serotonin-MDD,OUTCOME,Approved,"fluoxetine (Prozac NDA 018936) coded as the first SSRI approved for MDD; the manuscript names fluoxetine, sertraline and",FDA:NDA018936; PMID:29477251; DOI:10.1016/S0140-6736(17)32802-7; PMID:15121647; DOI:10.1176/appi.ajp.161.5.826
