family,domain,mr_or,mr_ci_low,mr_ci_high,conversion_factor_s,d_lower_signed,d_point_signed,d_upper_signed,ci_excludes_null,scale_unresolved,mr_state,registered_mr_class,alignment_flag,alignment_source,registered_classification,drug_outcome,registered_correct,status
CTLA-4-RA,autoimmune,0.86,0.78,0.95,,-0.137,-0.0832,-0.0283,True,True,inconclusive,null,aligned,,qualitative discordance,Approved,False,pre-registered
TNF-a-RA,autoimmune,1.0,,,,,0.0,,,False,inconclusive,null,aligned,,qualitative discordance,Approved,False,pre-registered
IL-17-psoriasis,autoimmune,0.998,,,,,-0.0011,,,False,inconclusive,null,aligned,,qualitative discordance,Approved,False,pre-registered
JAK-STAT-RA,autoimmune,1.27,1.2,1.34,,0.1005,0.1318,0.1614,True,True,supportive,causal,aligned,,concordance,Approved,True,pre-registered
CD20-RA,autoimmune,1.291,1.19,1.391,,0.0959,0.1408,0.182,True,True,supportive,causal,aligned,,concordance,Approved,True,pre-registered
IL-4Ra-AD,autoimmune,1.02,,,,,0.0109,,,False,inconclusive,null,construct-limited,drug_outcome,qualitative discordance,Construct-limited,,construct-limited
IL-1b-CVD,autoimmune,1.0,,,,,0.0,,,False,inconclusive,null,aligned,,qualitative discordance,Failed,True,pre-registered
VitD-Cancer,oncology,0.97,0.88,1.07,,-0.0705,-0.0168,0.0373,False,False,negligible_range,null,aligned,,qualitative discordance,Failed,True,extension
IGF1-CRC,oncology,1.22,1.09,1.36,,0.0475,0.1096,0.1695,True,False,supportive,causal,indication mismatch,"the MR estimate is for colorectal cancer risk, while the Phase III programs treated non-small-cell lung cancer, Ewing sarcoma, and pancreatic cancer",genetic-only signal,Failed,False,extension
Estrogen-BC,oncology,1.03,1.01,1.06,,0.0055,0.0163,0.0321,True,False,negligible_range,null,aligned,,qualitative discordance,Approved,False,extension
Eos/IL5-Asthma,respiratory,1.5,1.23,1.83,,0.1141,0.2235,0.3332,True,False,supportive,causal,aligned,,concordance,Approved,True,extension
IL4Ra-Asthma,respiratory,0.87,0.82,0.93,,-0.1094,-0.0768,-0.04,True,False,inconclusive,null,construct-limited,drug_outcome,qualitative discordance,Construct-limited,,construct-limited
TSLP-Asthma,respiratory,1.02,,,,,0.0109,,,False,inconclusive,null,construct-limited,drug_outcome,qualitative discordance,Construct-limited,,construct-limited
SGLT2-HF,metabolic,0.44,0.26,0.76,,-0.7427,-0.4526,-0.1513,True,False,supportive,causal,aligned,,concordance,Approved,True,extension
GLP1R-T2D/Obesity,metabolic,1.0,,,,,0.0,,,False,inconclusive,null,construct-limited,drug_outcome,null concordance,Construct-limited,,construct-limited
Urate-Gout,metabolic,5.0,3.5,8.0,,0.6907,0.8873,1.1465,True,False,supportive,causal,aligned,,concordance,Approved,True,extension
IL6-MDD,psychiatry,1.01,0.99,1.04,,-0.0055,0.0055,0.0216,False,False,negligible_range,null,instrument-target mismatch,sirukumab neutralizes the IL-6 ligand; the declared instrument is the IL-6 receptor; the estimate used is downstream CRP (Amendment 5),qualitative discordance,Failed,True,extension
IL23-Crohns,gastroenterology,1.0,,,,,0.0,,,True,inconclusive,null,construct-limited,drug_outcome,qualitative discordance,Construct-limited,,construct-limited
Complement-GA,ophthalmology,2.5,2.2,2.85,,0.4347,0.5052,0.5774,True,True,supportive,causal,instrument-target mismatch,MR instruments complement pathway broadly (CFH); drug targeted Factor D specifically (classifier note),concordance,Failed,False,extension
Sclerostin-Fracture,musculoskeletal,0.59,0.54,0.66,,-0.3397,-0.2909,-0.2291,True,False,supportive,causal,aligned,,concordance,Approved,True,extension
Serotonin-MDD,psychiatry,1.08,1.03,1.12,,0.0163,0.0424,0.0625,True,True,inconclusive,null,aligned,,qualitative discordance,Approved,False,extension
